Big	Grande<br>Questa scarpa è più grande dell’altra.<br>This shoe is bigger than the other one.
Firefly	Lucciola<br>Una lucciola luminosa mi ricorda che è estate.<br>A glowing firefly reminds me of summer.
Bug	Insetto<br>Chiudi la finestra! Un insetto sta cercando di entrare.<br>Close the window! A bug is trying to get in.
Newt	Salamandra<br>Hanno trovato una salamandra in giardino. Come è possibile?<br>They found a newt in the garden. How is it possible?
Koala	Koala<br>Quel cucciolo di koala è così carino!<br>That baby koala is so cute!
Kangaroo	Canguro<br>Il canguro è considerato come un animale domestico in Australia.<br>The kangaroo is considered as a pet by Australians.
Emu	Emù<br>Ho studiato che l’emù è una specie di uccello.<br>I studied that emu is some kind of bird.
Platypus	Ornitorinco<br>A cosa assomiglia un ornitorinco?<br>What does a platypus look like?
Wombat	Vombato<br>Il vombato è vegetariano. Mangia solo piante ed erba.<br>The wombat is vegetarian. It eats only plants and grass.
Urchin	Riccio di mare<br>La gente del sud Italia ama la pasta con i ricci di mare.<br>People in the South of Italy love pasta with urchin.
Monkey	Scimmia<br>La scimmia è così simile agli umani.<br>The monkey is so similar to humans.
Rhinoceros	Rinoceronte<br>I bambini sono rimasti colpiti dal rinoceronte allo zoo.<br>Children were impressed by the rhinoceros at the zoo.
Chimpanzee	Scimpanzé<br>Lo scimpanzé è un animale vivace che ama giocare e scoprire.<br>The chimpanzee is a lively animal that loves playing and discovering.
Owl	Gufo<br>Ieri notte ho sentito un gufo.<br>I heard an owl last night.
Alligator	Alligatore<br>Un uomo è stato ucciso l’altro giorno in Florida da un alligatore.<br>One man was killed by an alligator in Florida the other day.
Shark	Squalo<br>Hanno avvistato uno squalo in riva al mare.<br>They saw a shark at the seashore.
Stingray	Razza<br>Non toccare la coda di quella razza mentre nuoti.<br>Don't touch the tail of that stingray while swimming.
Head	Testa<br>Ha picchiato la testa contro il cartello stradale. Ora ha un bernoccolo.<br>He hit his head against the road sign. Now he has a bump.
Eye	Occhio<br>Cosa è successo al tuo occhio? È molto gonfio.<br>What happened to your eye? It is very swollen.
Nose	Naso<br>Si è rotto il naso durante la partita di calcio.<br>He broke his nose during the football match.
Ear	Orecchio<br>Se tendi l’orecchio, sentirai quel suono orrendo!<br>If you stretch your ear, you will hear that horrible sound!
Mouth	Bocca<br>Non mettere le mani in bocca, hai le dita sporche!<br>Don’t put your hands in your mouth! Your fingers are dirty.
Hand	Mano<br>La mia borsa è così pesante che mi fa male la mano.<br>My bag is so heavy that my hand hurts.
Arm	Braccio<br>Ho il braccio rotto in 2 punti.<br>My arm is broken in 2 points.
Foot	Piede<br>Ho un piede più lungo dell’altro.<br>I have one foot longer than the other.
Stomach	Stomaco<br>Quando lo stomaco mi fa male, bevo acqua, limone e zucchero.<br>When my stomach hurts, I drink water, lemon and sugar.
Beard	Barba<br>Tagliati la barba! È troppo lunga.<br>Cut your beard! It is too long.
Hair	Capelli<br>Mi piace molto il colore dei tuoi capelli.<br>I really like the color of your hair.
Body	Corpo<br>Mi fa male tutto il corpo, dopo la nuotata di ieri.<br>My entire body hurts after yesterday's swim.
Rib	Costola<br>Si è rotto una costola cadendo dalle scale.<br>He broke his rib falling from the stairs.
Tooth	Dente<br>Mi potrebbe controllare questo dente? Mi fa molto male.<br>Could you please check this tooth? It hurts a lot.
Toothpaste	Dentifricio<br>Se vai al supermercato, compra un dentifricio nuovo.<br>If you go to the supermarket, buy a new toothpaste.
Forehead	Fronte<br>Metti un po’ di ghiaccio sulla fronte e il bernoccolo sparirà.<br>Put some ice on your forehead and the bump will disappear.
Knee	Ginocchio<br>Mi fa male il ginocchio oggi. Forse cambierà il tempo.<br>My knee hurts today. Probably the weather will change.
Elbow	Gomito<br>Ha alzato un po’ troppo il gomito e ora è ubriaco.<br>He has lifted his elbow a little too much and now he is drunk.
Cheek	Guancia<br>Gli ha dato un bacio sulla guancia e se ne è andata.<br>She kissed him on the cheek and left.
Chin	Mento<br>Sono caduta e ho sbattuto il mento. Che male!<br>I fell and slammed my chin. Ouch!
Bone	Osso<br>Il veterinario dice che l’osso di pollo è pericoloso per il cane.<br>The vet says that chicken bone is dangerous for dogs.
Nostril	Narice<br>Ho una narice chiusa per colpa del raffreddore.<br>Because of the cold, I have a closed nostril.
Muscle	Muscolo<br>Mi sono stirato il muscolo giocando a calcio con gli amici.<br>I stretched my muscle while playing soccer with friends.
Comb	Pettinare<br>Prima di fare la treccia, devi pettinare i capelli.<br>You must comb your hair before braiding.
Kidney	Rene<br>Ha subito il trapianto a un rene, a causa di un problema molto serio.<br>He underwent a kidney transplant, due to a very serious problem.
Blood	Sangue<br>I tuoi esami del sangue mostrano una carenza di ferro.<br>Your blood tests show an iron deficiency.
Soap	Sapone<br>Mi piace il profumo di questo sapone! Sa di mughetto.<br>I like the smell of this soap! It’s lily of the valley.
Waist	Vita<br>Mi piacciono questi jeans ma sono un po’ scomodi in vita.<br>I like these jeans but they are really uncomfortable around the waist.
Face	Faccia<br>Guardami in faccia quando mi parli!<br>Look at my face while you are talking to me!
Shoulder	Spalla<br>Abbiamo lavorato spalla a spalla per molti anni.<br>We have worked shoulder to shoulder for many years.
Leg	Gamba<br>Mi sono rotto la gamba giusto prima delle vacanze.<br>I broke my leg just before the holidays.
Toothbrush	Spazzolino<br>Lo spazzolino andrebbe cambiato spesso per essere più efficace.<br>The toothbrush needs to be changed often to be more effective.
Shampoo	Shampoo<br>Mi potrebbe dare uno shampoo antiforfora, per favore?<br>Could you give me an anti-dandruff shampoo, please?
Shower	Fare la doccia<br>Se devi fare la doccia, falla subito!<br>If you have to shower, do it now!
Shave	Radersi<br>Come può radersi senza uno specchio?<br>How can he shave without a mirror?
Brush	Spazzolare<br>Ricordati di spazzolare i tuoi capelli ogni giorno.<br>Remember to brush your hair every day.
Conditioner	Balsamo<br>Il balsamo va sempre sciacquato molto bene.<br>The conditioner should always be rinsed very well.
Backbone	Spina dorsale<br>La sua spina dorsale non è diritta, quindi deve mettere un corsetto.<br>His backbone is not straight, so he must put a corset.
Build	Corporatura<br>I giocatori di rugby hanno una corporatura massiccia.<br>Rugby players have a massive build.
Short	Basso<br>È il più basso della classe, ma il più intelligente.<br>He is the shortest in the class, but the most intelligent.
Blonde hair	Capelli biondi<br>Gli piacciono le ragazze con i capelli biondi.<br>He likes girls with blond hair.
Black hair	Capelli neri<br>Ha i capelli neri e molto lunghi.<br>She has black and very long hair.
Brown hair	Capelli castani<br>I capelli castani sono molto comuni in Italia.<br>Brown hair is very common in Italy.
Red hair	Capelli rossi<br>Di solito le persone con i capelli rossi hanno anche le lentiggini.<br>Usually people with red hair have also freckles.
Wrinkle	Ruga<br>Ha una ruga proprio nel centro della fronte.<br>It has a wrinkle right in the middle of the forehead.
Eyebrow	Sopracciglio<br>Quando alza il sopracciglio, vuol dire che è arrabbiato.<br>When he raises his eyebrow, it means he is angry.
Eyelash	Ciglio<br>Ho un ciglio dentro all’occhio. Potresti aiutarmi per favore?<br>There is an eyelash in my eye. Could you please help me?
Facial hair	Peli del viso<br>Da vero uomo del sud, ha i peli del viso molto scuri.<br>As a real southern man, he has very dark facial hair.
Taste bud	Papilla gustativa<br>La mia papilla gustativa distingue tutti i gusti perfettamente.<br>My taste bud distinguishes all tastes perfectly.
Teeth	Denti<br>Il cane ringhiava e mostrava i denti.<br>The dog growled and showed its teeth.
Lip	Labbro<br>Mi sono rotta il labbro inferiore cadendo dalla bici.<br>I broke my lower lip by falling off the bike.
Thigh	Coscia<br>Come faccio a ridurre la circonferenza della coscia?<br>How can I reduce the circumference of my thigh?
Calf	Polpaccio<br>Il giocatore ha avuto un crampo al polpaccio ed è stato sostituito.<br>The player had a cramp in the calf and was replaced.
Buttocks	Natiche<br>Ha la schiena dritta e le natiche sporgenti.<br>He has a straight back and protruding buttocks.
Ankle	Caviglia<br>Le radiografie mostrano che ha una distorsione alla caviglia.<br>Radiographs show that she has an ankle sprain.
Toenail	Unghia del piede<br>Si è tagliato l'unghia del piede mentre era seduto in macchina.<br>He cut his toenail while sitting in the car.
Heel	Tallone<br>Se indossi scarpe basse, il tuo tallone potrebbe risentirne.<br>If you wear flat shoes, your heel may be affected.
Kneecap	Rotula<br>Ha accidentalmente urtato la sua rotula sull'angolo del tavolo.<br>She accidentally bumped her kneecap into the corner of the table.
Groin	Inguine<br>Fare la ceretta all’inguine sarà doloroso, ma si deve fare.<br>Waxing my groin will be painful, but it has to be done.
Achille’s heel	Tallone d’Achille<br>Il suo tallone d'Achille è la passione per le ragazze giovani.<br>His Achille’s heel is his love for young girls.
Pinkie	Mignolo<br>Il mignolo della mia mano destra è storto.<br>The pinkie of my right hand is crooked.
Middle finger	Dito medio<br>Ha alzato il dito medio alla polizia ed è scappato.<br>He raised the middle finger to the police and ran away.
Hiccup	Avere il singhiozzo<br>Qual è il rimedio per evitare di avere il singhiozzo?<br>What is the remedy to avoid hiccup?
Urinate	Urinare<br>Non far urinare il tuo cane sulle porte delle case. È molto maleducato.<br>Don’t let your dog urinate on the houses’ doors. It’s very impolite.
Pass gas	Emettere gas<br>Non devi emettere gas in classe! È orribile!<br>You mustn’t pass gas in the classroom! It’s awful!
Fart	Scoreggiare<br>Scoreggiare nei luoghi pubblici dovrebbe essere proibito.<br>Farting in public places should be forbidden.
Pimple	Brufolo<br>Se ti tocchi il brufolo con le mani sporche, si infetterà.<br>If you touch your pimple with dirty hands, it will become infected.
Shaving razor	Rasoio<br>Il tuo rasoio taglia bene. Me lo presti?<br>Your shaving razor cuts well. Can you lend it to me?
Back	Schiena<br>Devo cambiare il materasso, perché ho male alla schiena.<br>I have to change my mattress, because of my back aches.
Gargle	Fare i gargarismi<br>Prima di andare a dormire, mio nonno è abituato a fare i gargarismi.<br>Before going to sleep, my grandpa is used to gargling.
Blow-dry	Asciugare con il phon<br>Se i tuoi capelli sono ancora bagnati, asciugali con il phon!<br>If your hair is still wet, blow it dry!
Spit	Sputare<br>Non sputare per la strada! È così disgustoso.<br>Don’t spit in the street! It is so disgusting.
Defecate	Defecare<br>Per favore, non lasciare defecare il tuo cane per strada.<br>Please, don’t let your dog defecate in the street.
Finger	Dito<br>Mi sono appena tagliato un dito con un coltello e ora sanguina.<br>I’ve just cut my finger with a knife and now it’s bleeding.
Chest	Petto<br>Ha un tatuaggio sul petto.<br>He has a tattoo on his chest.
Neck	Collo<br>Mi fa male il collo. Potresti spegnere l'aria condizionata?<br>My neck hurts. Could you please turn the air conditioning off?
Brush	Lavare<br>Dovresti lavarti i denti prima di andare a dormire.<br>You should brush your teeth before going to sleep.
Bathe	Fare il bagno<br>Il dottore mi ha detto di non fare il bagno dopo aver mangiato.<br>The doctor told me not to bathe after eating.
Washcloth	Salvietta<br>Puoi passarmi una salvietta pulita?<br>Can you hand me a clean washcloth?
Deodorant	Deodorante<br>La fragranza di questo nuovo deodorante è davvero fresca.<br>The fragrance of this new deodorant is really fresh.
Wrist	Polso<br>Non riesco a muovere il polso oggi.<br>I can’t move my wrist today.
Skin	Pelle<br>Mi sono bruciato la pelle al sole.<br>I burned my skin under the sun.
Forearm	Avambraccio<br>Mi fa male l’avambraccio. Probabilmente ho dormito in posizione sbagliata.<br>My forearm hurts. I probably slept in a wrong position.
Thumb	Pollice<br>Pollice in alto se vi piace questo film!<br>Thumb up if you like this movie!
Index finger	Indice<br>Usa il dito indice per indicare la lavagna.<br>Use your index finger to point to the board.
Ring finger	Anulare<br>Si è rotto l’anulare giocando a basket.<br>He broke his ring finger while playing basketball.
Abdomen	Addome<br>La parte superiore del corpo è costituita da testa, torace e addome.<br>The upper part of the body is made up of a head, a thorax and an abdomen.
Belly	Pancia<br>La mia pancia è cresciuta così tanto in vacanza! Ho mangiato davvero troppo.<br>My belly grew so much on vacation! I really ate too much.
Spine	Spina dorsale<br>Non tutti gli animali hanno una spina dorsale.<br>Not all animals have a spine.
Shoulder blade	Scapola<br>I dottori hanno scoperto che ha una scapola dalla forma particolare.<br>Doctors discovered he has a particular shaped shoulder blade.
Slim	Snello<br>Vuole tornare al lavoro snello e abbronzato.<br>He wants to go back to work slim and suntanned.
Body type	Corporatura<br>Questo vestito non è adatto alla tua corporatura.<br>This dress is not suitable for your body type.
Thin	Magro<br>Non è magro come suo padre.<br>He is not as thin as his father.
Mustache	Baffi<br>I baffi sono di moda tra i giovani al momento.<br>Mustache are fashionable among young people at the moment.
Eyelid	Palpebra<br>Il truccatore ha applicato l’ombretto sulla palpebra della cantante.<br>The make up artist applied eyeshadow to the singer’s eyelid.
Tongue	Lingua<br>Ha un nuovo piercing sulla lingua.<br>She has a new piercing on her tongue.
Saliva	Saliva<br>La saliva è generata nella bocca.<br>Saliva is generated in the mouth.
